operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      2.3.3 and up    ,Card,"★★★★★#1 App for Video Poker games - Enjoy and Win Big!★★★★★ ,Best free poker card games on android! Like Deuces Wild and Jacks or Better casino card games? You’ll LOVE Video Poker - Jacks or Better coming in 2016!,Introduction:,Video poker is a popular casino game based on 5-card poker that is available at nearly all online casinos.Video poker is often the 2nd best choice for completing wagering requirements,after blackjack & blackjack variants.,Video poker allows the player to use skill to beat the house.Test your skills and play against the house on your favorite Video Poker - Jacks Or Better.Enjoy the thrilling experience of playing this video poker game on your Android Device.Play this popular casino poker game just like in Vegas.,Much Video Poker games to choose from: Jacks or Better,Double Bonus,Deuces Wild,Tens or Better,Bonus Deluxe,Double Double Bonus,Joker Wild,Aces and Faces,Triple Double Bonus,Progressive and Red Hot Aces!,Play Vegas Casino Video Jacks or Better FREE Poker online or offline!,Game Features:,*Fun,fast and easy game play.,*Sound & music just like the real thing.,*Jackpot,* Real casino shuffling of cards.,*Double Up your winnings - Optional.Can be disable from the options menu.,* Hours bonus coins.,The app is FREE for a very limited time.Download now! Enjoy the free Casino Experience!",,,"  5,000 - 10,000  ",22-Feb-16,1.05, 11M  ,,188,4.7,Video Poker - Jacks Or Better
      2.3 and up    ,Puzzle,"Candy Blast is a simple casual match-2 game. Graphics is very beautiful, and the candy is very attractive.,This sweet game is easy to start, just tap on two or more of the same color candies to make blast! This game is no time limit, you can enjoy the play in every day!,Top Features:,* Various of sweet and delicious candy.,* Fresh and beautiful picture of the game.,* Very smooth gaming experience.,* Simple to start, but very challenging to fully master,* Three game modes, fun to burst, let you put it down.,Free download and enjoy it, let's start!",,,"  50,000 - 100,000  ",17-Feb-16, 1.0.5  , 7.0M  ,,281,4,Candy Blast
      2.3 and up    ,Arcade,"Second version of Eat the Line, which reached TOP100 in more than 83 countries, and TOP10 in 7 countries, including Germany and China!,After more than 200.000 downloads and more than 2000 5 star ratings, the addictive game is back with many more features!,Now with local multiplayer, music, power ups, sound fx, backgrounds and much more!,The point of the game is to tap the screen to jump, avoiding touching the line. You can buy power ups that help you to reach further distances!,Features:,- 3 official themes you can buy with in-game money, and many more User Created Themes coming soon!,- 1vs1 local multiplayer,- Power ups that help you reach further distances (Flat, Slow, Magnet and Mouth),- Music and funny sound effects with each skin!,- A lot of fun,Themes:,- Clownfish (official),- Mosquitoes (official),- Space (official),- Nyan (User created),- Vacuum (User created),The gameplay is similar to that of the old good Flappy game.,Please send your feedback to ,fedde92@live.com.ar,!",,,"  10,000 - 50,000  ",28-Feb-16, 1.1.3  , 9.1M  ,,637,4.2,Eat The Line 2
      2.3 and up    ,Puzzle,"Bubble Snow Cones Candy Dessert Pop - Arcade Shooter Mania FREE!,Bubble Snow Cones Arcade Shooter - Shoot Snow Cone Food Bubbles and Blast away to rack up your score!,Rainbow Frosty Snow Cones are at your disposal - use them wisely in this strategic, endless bubble blaster and arcade shooter!,Snow Cones are a favorite and popular treat, especially for the Summer! Take them, and blast away in this gorgeous and fun cartoony shooter for all ages!",,,,9-Mar-16,1, 26M  ,,1,4,Bubble Snow Cones Arcade Mania
      4.0.3 and up    ,Role Playing,"지금 인기 1위,손에 땀을 쥐는 전술!,역전의 짜릿한 쾌감!,하면 할수록 재미의 깊이가 다른 MORPG 로스트킹덤!,# 캐릭터를 키우는 재미가 있는 유저 중심 컨텐츠! ,과금없이 다양한 컨텐츠를 즐기면서 즐겁게 캐릭터를 키운다!,# 레벨과 장비로 싸우는 시대는 갔다! 실력 중심의 PVP 난투장!,역전의 짜릿한 쾌감! 저렙도 고렙을 링에서 아웃 시키는 짜릿함!,밸런스가 있어 싸우는 쾌감이 있는 난투장,# 40Lv이 되면 열리는 스킬의 신세계! 레이드의 재미를 보장한다!,손에 땀을 쥐게 하는 치고 빠지는 전술!,고레벨에 맞는 강력한 스킬 장착으로 레이드의 재미를 느껴보세요!,# 타이밍이 중요한 두뇌와 컨트롤 싸움 PVP!,반격을 반격한다! 한가지 한가지 모든 스킬을 100% 활용하는 PVP!,상대방과 진검 승부를 통해 진정한 강자를 가려보세요!,# 고렙의 축복! 상위 랭커의 버프를 받을 수 있는 마을,절대 강자인 상위 랭커는 마을에서 유저들에게 버프를 줄 수 있습니다.,마을에서 온라인 RPG게임의 감성을 그대로 느껴보세요,# 완성도 높은 스테이지와 시나리오!,스테이지를 돌파할수록 장엄한 스토리와 광활한 전장이 펼쳐진다.,길가메시의 등장과 그를 둘러싼 비밀! 새로운 가디언이여 에리드를 수호하라! ,전장에서 만나는 몬스터를 길들여 타고 이동, 전투를 펼쳐보세요!,성문을 수호하고 성물을 보호하는 미션 등 ,완성도 높은 전장과 미션이 당신을 기다립니다!,▷ 로스트킹덤 공식카페 : ,http://cafe.naver.com/lostkingdom433,로스트킹덤의 가장 최신 정보와 이벤트를 만나 볼 수 있는 공식 카페로 방문해보세요!",,,"  1,000,000 - 5,000,000  ",11-Mar-16, 1.0.3  , 58M  ,,"74,997",4.4,로스트킹덤
      3.0 and up    ,Role Playing,"• Get hooked on the gameplay from the very first minute.,Be amazed by the dazzling visuals and action at the touch of your fingertips with beautiful lush environments and awesome animations ,• Real Time Party System,Strategize your way through challenges with a unique Party Play system ,Strategise to defeat dungeon bosses in real-time three-person tag teams.,• Exciting PvP and Guild Battles,Push the limits of your skills in friendly matches with your friends and opponents in 1v1 and 3v3 modes.,• Over 100 Costume,Loads of costumes to choose at your own choice, even the Fashionista could enjoy the dress up for the Legendary Costume from Raid Dragon.,Master your combat skills, in true Dungeon Crawling Fantasy RPG style, and unlock hundreds of equipment pieces. ,Are you up for the fantasy-adventure on the small screen? Install now!,Facebook : ,https://www.facebook.com/dragonencounter,For Game Guide and more information : ,http://www.mobirum.com/dragonencounter,Dragon Encounter - Trailer : ,https://www.youtube.com/watch?v=QZy30NbI6rY",,,"  500 - 1,000  ",3-Mar-16, 1.1.0  , 33M  ,,297,4.4,Dragon Encounter™
      4.0.3 and up    ,Casino,"★★★★★WIN HUGE JACKPOTS! PLAY SILVER CITY LAS VEGAS FREE SLOTS TODAY AND ENJOY THE BIGGEST PAYOUTS★★★★★,Silver City Slots Free Slots offers high quality, simple, and classic free slots games. ,★★★★ Game Features ★★★★,► Travel to a classic Las Vegas casino and play free slots games!,► Enjoy single-line free slot machines with bars, triple sevens, diamonds, and cherries!,► No-internet and No-wifi required to play!,► From the makers of Viva Las Vegas Free Slots (Viva Slots Vegas),Like our games? Leave us a 5-star review. Your feedback is appreciated.,Play old Las Vegas free slots today!,Questions? ,E-mail us at: ,silvercitysupport@playrocketgames.com",,,"  1,000 - 5,000  ",2-Mar-16, 1.0.0  , 45M  ,Top Developer,95,4.7,Silver City Slots - Free Slots
      2.3.3 and up    ,Simulation,"A strong girl has just arrived at the footsteps of asylum to rescue the kidnapped kids. She needs to explore asylum for setting free the captured kids from the brutality of the cruel world.,Seeking in the corridors and finding out the innocent kids is very difficult as the fierce guards and cops have made strong checks in asylum.,The bad guys are also there and under the protection of the cops. Together they will give you a very tough time. The environment is high alert. Any wrong move can prove very dangerous.,Walk through the asylum carefully and grab the objects and weapons that will help you in fighting with the criminal. Hit the villains and kill them. Show no mercy to these offenders.,Enjoy the most thrilling and exciting escape game. And epic adventure lies ahead! All you need is to save and rescue the kidnapped kids. Their lives are very precious. The kids need your help. Go and rescue them!!,Features:,Exciting Game Play!,Weapons and Tools for Fighting!,Beautiful 3D Graphics!,Challenging Game Mods!,Amazing Sound Effects!",,,"  50,000 - 100,000  ",17-Feb-16,1.2, 43M  ,,411,3.9,Asylum Night Escape
      2.3.3 and up    ,Puzzle,"--- How many dots can you fit on the board? ---,The rules are simple: you have a board with 100 empty dots, and each turn we give you three puzzle pieces. Your task is to fit as many dots as possible on the board! Once you complete a row or column, the do",,,"  1,000 - 5,000  ",3-Mar-16, 1.0.1  , 25M  ,,56,4.5,100 Dots!
      4.1 and up    ,Educational,"Pocoyo Puzzles is an app conceived for the smallest of the house, with which they will have fun solving more thatn 30 different puzzles while improving their oral comprehension.,Once the puzzle is solved, it becomes animated and a message explaining what is happening is heard,This way, children don't only have fun solving puzzles, but they also get started with oral comprehension and foreign languages learning.,All audios are available in English and Spanish.,Play Pocoyo Puzzles now, will you be able to solve them all?,The free version of the app includes 10 different puzzles and contains advertising.,You can unlock the full content and remove the ads with a single purchase.,Build with Qt,www.qt.io",,,"  5,000 - 10,000  ",22-Feb-16,1, 49M  ,,49,4.2,Pocoyo Puzzles Free
      2.3 and up    ,Simulation,"This is the game that you can conquer the roads with high powered monsters!,Fight again nature and beat every step on way!,Remember this is not a level based game, this is endless open world game with lots of specialities. ,You can buy or sell trucks, customize them, enjoy the nature, fight with storms etc.,What you can do in this game?,>You can explore the open world map and buy trucks,,>You can customize your trucsk and make them powerfull,,>You can enjoy awesome gameplay and earn GP points,And game has auto quality modification, so it doesn't matter what device is do you have, every device can play this game somehow!,If your device powerfull you will get awesome quality, if your device has no great power it is okey too, you can has high fps from our auto quality chooser!,Please let us know if you find any bugs or etc.,Enjoy!",,,"  1,000 - 5,000  ",12-Mar-16, 1.0.6  , 100M  ,,829,4.6,Truck Simulator : Coroh
      2.3 and up    ,Puzzle,"Help Kango the kangaroo to collect magical flowers from the lost islands! It's an epic floral adventure with many challenging levels!,Don't wait for lives, don't bother your friends to progress, just play and have fun!,Swipe and connect the colorful flowers, to make chains and match them. Longer chains give bonus points and power-ups. Clear the dry sand and the rocks, or collect the buried gems! Include the swiped flowers to reach the level goal!,Getting overgrown? Activate flower-ups for a helping plant!,Have a blast by connecting the blossom and swiping the rose petals! If you like match 3 puzzle games, connect and match, swipe and match or any type of casual match 3 puzzle game then Kango Islands is the ultimate saga for you!,TO REMOVE ADS: Buy any of the coin packs in the shop to permanently remove ads!,For more match-3 sweetness, go to ,https://www.facebook.com/SmileyGamer",,,"  5,000 - 10,000  ",1-Mar-16, 1.0.1  , 45M  ,,119,4.6,Kango Islands
      2.3 and up    ,Simulation,"Tractor Farming Simulator is the farm simulator where you can manage your own farm and harvest your crops. In this game you will start to make the ground ready and with the cultivator you can achieve this. But you need to do it before you run out of gas otherwise you have to pay for a refill of your gas. This game is the ultimate Tractor Farmer Simulator and will let you enjoy all the aspects of having your own farm. ,In Tractor Farming Simulator  you have to do everything a farmer needs to do for his harvest so use the cultivator, plant seeds, water the plant, harvest your crops and sell it. When you have sold your harvest you unlock some new ground what needs your real tractor farming skills  ,Every stage of farming is a mission in this tractor farm simulator, so you can do a lot of real farm trartor simulator  stages. ,Not only will you drive in your tractor you will use for the harvest a combine. ,Features of this Real Tractor Farming Simulator ,* Play a real tractor farmer simulator,* Enjoy all stages of having a farm ,* Get out in the field and harvest your crops ,* Realistic tractor farming simulator ,* Manage everything at your own farm ,* Drive tractors and a combine,Become a real tractor farmer and manage your fields in this real farm tractor simulator. Can you sell your harvest for the top prize or will you get nothing? ,We hope you will like this tractor farmer simulator and rate it on the play store. ,Don’t forget to enjoy also our other free mobile games",,,"  50,000 - 100,000  ",25-Feb-16,1.2, 37M  ,,333,3.9,Tractor Farming Simulator
      2.3 and up    ,Strategy,"◆◆Explore the vast open world, forge the ace mecha squad, and engage with enemies on battlefield! ,◆◆Benefits and Rewards: Payment discounts, various Level-up rewards, FREE daily online gift for 30 days, and abundant fun events are waiting for you!,===Media Review===,“The most expected Mecha-theme Mobile Game in 2016”,“Amazing graphic and stunningly detailed combat system will definitely make a difference while comparing with other games”,“An epoch-making change for traditional turn-based battle game, the perfect combination of turn-based battle and strategy game on one screen”,===Game Features===,◆Various Mechas and Pilots---Hundreds of Mechas and Pilots await for your command to defend human civilization from cunning and brutal aliens.,◆Deep Upgrade System---Enhance your mechas and pilots regularly through detailed and thorough upgrades across all levels. ,◆Gripping Single-Player Campaign---Battle through hundreds of missions given to you, and uncover the dark truth behind the heat death of universe.,◆Strategic Multiplayer Gameplay. Forge powerful alliances with other elite players, pile up resources by raiding hundreds of enemy bases, and band together for galaxy dominateon.,===Ongoing Events===,◆First payment gets 200% extra diamonds, a purple quality weapon and rich amount of coins!,◆Contact customer service before March 15th, a mysterious newbie gift could be rewarded. Limited gifts like the early birds!,===Contact Us===,Customer Service Email: ,Customer@juren3d.com,Wechat Public ID: MechaGear,Official Facebook Website: ,https://www.facebook.com/Mecha-Gear-440088036197605",,,"  5,000 - 10,000  ",21-Feb-16, 1.0.0  , 117M  ,,259,4.2,Mecha Gear
      4.0 and up    ,Education,"Looking for a fun, free, and simple educational app to help your toddler learn phonics and trace letters of the alphabet? Look no further than ABC Kids.,ABC Kids is a free phonics and alphabet teaching app that makes learning fun for children, from toddlers all the way to preschoolers and kindergartners. It features a series of tracing games to help kids recognize letter shapes, associate them with phonic sounds, and put their alphabet knowledge to use in fun matching exercises. Any toddler, kindergartener or preschool age child can learn English and the English alphabet simply by following the arrows with their finger. They can even collect stickers and toys as they complete tracing games!,ABC Kids is more than just a kid-friendly educational app, it was designed with adult participation in mind, too. The interface keeps toddlers focused on alphabet reading and writing, tucking menu commands away from moving fingers. Adults can easily access settings to engage Teacher Mode, look at report cards, or toggle tracing and phonics games to better facilitate learning.,Best of all, ABC Kids is full-featured and free from in-app purchases and third party advertisements. Toddlers and adults can enjoy learning together without interruption.,Features:,- A colorful early education app that helps children learn the English alphabet.,- Includes ABC tracing games, phonics pairing, letter matching, and more.,- Uppercase and lowercase letters to trace, listen to, and match.,- Smart interface helps kids focus on phonics and letters without accidentally exiting the game.,- No third party ads, no in-app purchases, no tricks. Just pure educational fun!,Note to Parents:,When creating ABC Kids, we wanted to build the best experience possible for both adults and for children. We're parents ourselves, and we know how paywalls, in-app purchases, and intrusive third party advertisements can detract from the learning experience. With ABC Kids, we put the features of a paid app into a preschool friendly package, leaving out frustrating pop-ups and microtransactions. The end result is exactly the educational experience we want for our children. We think you and your family will enjoy it, too!,- Best wishes from the parents at RV AppStudios",,,  100 - 500  ,2-Mar-16, 1.0.5  , 31M  ,Top Developer,1,5,ABC Kids - Tracing & Phonics
      2.3 and up    ,Casual,"baby girl daycare games is a game for kids and adults.,be a daycare manager and take care of mommy's baby.,many levels: mommy at home. baby in spa salon. daycare activities and meal.,take care of mommy arrangements.,be a babies feeder.,give the baby girl to drink and eat. let it play with toys.,give the baby girl blended food.,fun and free game!,features:,- babies daycare simulation!,- Many activities.,- Many levels.,- collect points to unlock new levels.,- easy!,- full game for free!,- wonderful game for boys and girls.,- break the record!,- tools:diaper. bottle. toys and pacifier.",,,"  5,000 - 10,000  ",6-Mar-16,2, 7.8M  ,,54,3.8,baby girl daycare games
      4.0 and up    ,Casual,"Play a FREE trial of this immersive, high-quality game! Then pay once & play forever offline!,The Owl Man was just a fable created to scare the children of Willowsville… until now. When a child is abducted from this small hometown, the citizens believe that the fictitious villain may actually exist! ,• DISCOVER THE SUSPICIOUS HISTORY BETWEEN TWO TOWNS,Though the Owl Man serves as a nightmare for Willowsville, you find that this same villain serves as a good omen in the nearby town of Nightsville. Uncover the rivalry that exists and get closer to the truth!,• RECEIVE THE GIFT OF FORESIGHT,Search through several hidden object scenes and use the gift bestowed onto you by a local townsperson to find out what has caused this kidnapping.,	,• IS THERE SOMETHING DIFFERENT ABOUT THE MISSING CHILD?,Play through a variety of mini-games and challenging puzzles and collect the clues you need to crack the case.,• PLAY AS THE OWL MAN IN THE BONUS GAME,Discover another story in the bonus chapter and enjoy other Collector’s Edition exclusives including achievements and collectible objects.,• Find thousands of hidden objects, plus solve tons of mini games and puzzles!,• Unlock this incredible Collector's Edition to gain access to all of the amazing bonuses and additional gameplay!,*** Discover more from Big Fish Games*** ,Sign up for our newsletter and never miss a new release or promotion again: ,http://bigfi.sh/AndroidSplash,Check out our entire game library with our Big Fish Games app absolutely FREE here: ,http://bigfi.sh/BFGAMGoog,Visit Big Fish Games, a leading developer, producer, and publisher of puzzle, adventure, casual, card & casino games!,VISIT US: www.bigfishgames.com,WATCH US: www.youtube.com/bigfishgames,FOLLOW US: www.twitter.com/bigfishgames,TALK TO US: www.facebook.com/bigfishgames",,,"  1,000 - 5,000  ",6-Mar-16, 1.0.0  , 958M  ,Top Developer,153,3.4,MT: Nightsville Horror
      4.0.3 and up    ,Adventure,"SPECIAL INTRODUCTORY PRICE - 30% OFF FOR LIMITED TIME ONLY!,Travel back in time to find the mythical Kingdom of Aeronhart.  Prevent the chaotic artifacts from killing your father… and destroying the universe itself!,TRY IT FREE, THEN UNLOCK THE FULL ADVENTURE FROM WITHIN THE GAME!,The Secret Order 3: Ancient Times continues the thrilling, story-driven series with a new, suspenseful narrative that successfully blends the fantasy and detective noir genres. ,Players take control of Sarah Pennington, daughter of the Master of the Order of the Griffins, must once more face the dangerous power of the artifacts that she reclaimed during the events of the last game.  ,The scepter and mask have become unstable, threatening the life of Sarah's father and the safety of the entire world. The only way to prevent the very fabric of reality from unraveling is for Sarah to travel back in time to the mythical realm of Aeronhart, to find one King Amadon, who ordered the creation of the artifacts. Amadon may be the only one who knows how to destroy these chaotic objects. Sarah must once again embark on an epic quest aboard the Royal Griffin, exploring  breathtaking locations from ancient times, solving difficult riddles, facing adversaries, and discovering the deepest secrets of the of the Order along the way. Will the young disciple prove herself up to the task? Will she manage to solve the puzzles, distinguish enemies from allies, and reach the heart of the ancient kingdom?,Can Sarah stop the artifacts before they kill her father?,• Embark on a grand journey against all odds to save your father!,• 60 minigames and hidden object puzzles waiting to be solved!,• Explore 57 stunning locations!,• Unlock all 26 challenging achievements!,• High-end, immersive gameplay, optimized for tablets and phones!, +++ WE ARE HERE +++,WWW: ,http://artifexmundi.com,FACEBOOK: ,http://facebook.com/artifexmundi,TWITTER: ,http://twitter.com/ArtifexMundi,YOUTUBE: ,http://youtube.com/user/ArtifexMundi,PINTEREST: ,http://pinterest.com/artifexmundi",,,  1 - 5  ,10-Mar-16,,,Top Developer,288,4.5,The Secret Order 3
      4.0.3 and up    ,Puzzle,"Shape Crush is the most interesting puzzle you have ever held in your hands.,Place the pieces into board. Once you fill in a vertical or horizontal line, it will disappear, freeing up space for new pieces.,No need to consider block colors, but shapes and space.",,,"  1,000 - 5,000  ",8-Mar-16,3, 12M  ,,23,3,Shape Crush
      4.0 and up    ,Puzzle,"The Fast Paced Arcade Brick Stacking Puzzler is now on your Phone. Two game modes and different blocks provide will keep you playing for hours.,• Two different control schemes,• Survival Mode,• 60+ Challenges to complete,• Online Worldwide Leaderboards,• 100% FREE to Play",,,  10 - 50  ,9-Mar-16, 1.0.0  , 8.5M  ,,177,3.7,Brick Stacker - Puzzle Game
      1.5 and up    ,Adventure,"PJ Bubble Masks is classic bubble shooter game for kids , easy to play and beautiful graphic and hq icon.,Features ,- More than 650 levels with unique challenging,- 2 Mode Game, Normal and Arcade,- Scoreloop highscores support,- Good Graphic,- Special Features,How to play :,- Tap on the game board where you specifically want the ball.,- Tap where you want the bubble. Tap longer to see the arrow to help you out with aiming",,,"  1,000 - 5,000  ",24-Feb-16,1.8, 9.3M  ,,7,4.7,PJ Bubble Masks
      3.0 and up    ,Action & Adventure,"The naughty boy wants to win Ronald the stuffed bear in the shooting stall.,Help Ronald travel through the carnival and escape him!,Win different levels with different goals at the bubble shooting stall to progress.,Drag your finger to aim, Lift to shoot!,Pop bubbles by making sequences of 3 or more bubbles.,7 pops in a row will give you a fire bubble.,Drop more than 10 bubbles in 1 shot for an explosive cotton candy.,* Over 130 levels!,* 6 Wonderful episodes: Grand Fair (Hit'em Bubbles!, Shopper's Delight, Playful Lane), Clownvale, Circus Animal Show, Firework Mountain, River Tram.,* Fun special bubbles and power ups,* Beat your friends' scores!,* Free the captured dolls, enjoy the ropes and pop slimed bubbles!,* Amazing soundtrack and exciting animations!,* Read the notes in the tutorial to understand the game play,Bubble types:,Dual bubbles can function like both of its colors.,Rock bubbles can be dropped or destroyed with a rifle / bomb / fire bubble,Diamond bubbles can only be dropped,Magic bubble appears after popping a sequence of 5 bubbles. It pops bubbles around it.,Wrapped bubbles are 2-3 layers bubbles.,Tied bubbles are connected with a rope.,Slime bubble prevents popping if the bubble you shoot only touches the slime bubble.,Water bubble spreads each turn you don't pop any bubble. Pop the water layer.,We are working on 300 new levels, and more to come.,_____________________________________________________________________,The game is free but you can purchase boosts like fire bubbles, more shots, more time, rifle shots and more.,_____________________________________________________________________",,,"  10,000 - 50,000  ",3-Mar-16,1.2, 35M  ,,238,4.4,Carnival Story Bubble Shooter
      4.0 and up    ,Casual,"Your boyfriend has told you that he’s taking you to the summer fair for your next date! Are you ready to experience love while exploring a fun seaside carnival? Prep time here you come!, , Your boyfriend always thinks of the neatest date ideas, and you’re super excited for this next date! You want to look and feel your best for this fun casual date that he’s planned. Go to the spa for a skin treatment or two. Add some makeup to bring out your natural beauty. Find the perfect outfit to impress him on your fun date to the fair!, , How to Play:, • You’ve been asked to go the carnival for a date, • Lavish your skin with some love at the spa, • Put on some lovely makeup to accent your feature, • Play dress up with some fun and flirty outfits to impress your boyfriend, • Get ready to have the time of your life on holiday, , The summer holiday is in full swing, and nothing is better than enjoying a fun afternoon date at the carnival on the shore. You can ride the Ferris wheel and explore the boardwalk eating cotton candy, but first you’ve got to get ready! Download today!,Come visit our: ,Website:    ,http://www.beautygirlsinc.com/,Facebook: ,https://www.facebook.com/beautygirlsinc,Twitter:      ,https://twitter.com/BeautyGirlsInc,Instagram: ,https://instagram.com/beautygirlsincorporated",,,"  10,000 - 50,000  ",24-Feb-16,1.1, 43M  ,,214,3.9,Our Sweet Date - Summer Fair
      2.3 and up    ,Adventure,"We've Reloaded the graphical interface of the Game and added some surprises. ,Get started and find out what's new and share it with your Friends!,Let your fantasy and imagination do their job and work on your own virtual 3D cubic Island world!,You can craft for your life in ""Survival"" mode or just enjoy crafting in ""Creative"" mode.,Yes you will need to survive between monsters and other living creatures, but you can survive.,This crafting game is inspired by other Crafting games and has got a fancy design.,Features:,You can move the banner to a place, where it doesn't disturbs you !,> Flying mode available ,> New Fancy design,> Many monsters and animals,> Almost infinite and beautiful map generator,> Single player and Multiplayer for you and your friend on the same WiFi,> You can construct and mining resources, craft items from raw materials, farming and more,Please write us an email, if you've got some suggestions ),Download and enjoy the new interface!",,,"  10,000 - 50,000  ",19-Feb-16, 0.0.1  , 14M  ,,232,4,Fancy Craft Reloaded
      2.2 and up    ,Action,"The Costumes:,• Make the super power heroes by Power-up! ,• Change the costumes by Power-up!,How to play:,• You must race through the levels collecting items.,• Defeating cunning enemies.,• Solving puzzles map before the clock runs out.,• Jump and action at the right time to avoid your death.,Features:,• Beautiful High quality Dots-Graphics.,• Easy controller and auto attack system.,• Stereo sound, BGM and effects.,• Incredibly Fun Physics to make interesting puzzles.,• Variety of Enemy Types to Overcome,• Multiple Worlds with More to Come!",,,"  10,000 - 50,000  ",9-Dec-15, 1.0.0  , 21M  ,,626,3.7,HERO-X: COMBAT
      4.0.3 and up    ,Action,"Aliens invasion is threatening our planet. Now the fate of our world is in your hands.,Steer giant robo, fight the invaders, and bring peace back to Earth in this non stop mobile action game, RoboWar!,Features:,Easy to Play,Tap as you take on the enemies and let your Robo perform epic moves and super combos. Fill up your power bar to unleash special attacks in combat!,Special Robo for Special Player,30+ Robot is waiting for you. Take control of the giant robos and master their special skill. Each Robo have special ability that different from the other. Choose the one that suit your fighting style well.,Be the Best Pilot in the World!,Get high score and compare your score with friends, or with other player from all around the world.,Offline Mode & Online Mode,No Internet connection, No Problem! You can play RoboWar anywhere, anyplace.,You also can enjoy online mode for Ranking.,Language Availability =,English, Chinese (Simp), Chinese (Trad), German, French, Spanish, Portuguese, Bahasa, Thai, Vietnam, Japanese, Korean, Russian, Italian,The game is free to play, however some in-game items will be able to purchase.",,,"  100,000 - 500,000  ",27-Feb-16,1, 80M  ,,"5,852",4.1,RoboWar
      2.3 and up    ,Racing,"Motocross Bike Driving 3D comes to you with action-packed, fun-filled motorbike gameplay where you race and ride ,extreme motocross bikes offroad to find hidden rings. ,!! AVAILABLE TO DOWNLOAD FOR FREE !!,Collect all these hidden rings to unlock even more motorbikes to race around. Take your motorbike to incredible eye-watering speeds with super charged nitro boosts, weaving through trees, fly off mountains, and speed run through tunnels and platforms.,GAME FEATURES:,- Huge interactive open world, filled with ramps, stunts, collectibles, and more!,- Amazing motorbikes, tons to race and unlock,- Dynamic lights and sounds,- Realistic camera angles,- Gain supercharged nitro boost by collecting NOZ bottles, collect more to unlock more bikes!,- Easy to use driving controls, both touch and tilt controls,- New and improved motorbike riding physics, simulating true motorbikes,- Realistic motorbike driving controls",,,"  10,000 - 50,000  ",3-Mar-16,1, 53M  ,,96,3.9,Motocross Bike Driving 3D
      2.2 and up    ,Adventure,Try to escape from the prison taking the right decision at right moment.,,,"  50,000 - 100,000  ",23-Feb-16,1, 6.7M  ,,564,3.9,Stickman Escape Game
      4.2 and up    ,Action,"UNIQUE SYMBIOSIS OF MUSIC AND GRAPHICS,Dub Dash is a fast-paced rhythm based action game. The tracks are decomposed into diverging game mode segments. The obstacles, tracks and visual effects are all adjusted to the music and in perfect harmony with each song. Dub Dash has a great soundtrack including music from Bossfight and the DJs of Geometry Dash – to enjoy the full experience the use of headphones is highly recommended. , ,7 ULTRA CHALLENGING MODES ,Spin your crazy wheel in harmony with the song and keep dodging left and right avoiding obstacles at high speed. Fly like a bird, make hard 90° turns and feel the rhythm of the zig-zag trajectory. The objective for each track is clear: Do you rock the funky road of Dub Dash?, ,PRACTICE MAKES PERFECT ,The gameplay of each segment is simple but it´s tough to master the levels. Actually it´s extremely hard, almost impossible – but fortunately there´s the practice mode which gives you a save point after each passage so you won´t need to finish the whole level in one try. Memorize each segment of the level and maybe (only maybe) you will be able to master even the hardest levels someday. ,EARN EXTRA-LIVES IN RANDOMLY GENERATED DAILY LEVELS ,Earn up to 15 bonus lives in the daily challenge mode. Each level is randomly generated to the beats and your extra lives will come in handy in your next approach to finish a level.,FEATURES:,-	Rhythm based action game,-	Great soundtrack including Bossfight and DJs from Geometry Dash,-	Challenging levels with groovy tracks and stunning effects to the beat of the music,-	7 different game modes requiring fast reactions,-	Practice mode,-	Google Play Game Services,-	Tablet support,(c) 2016 - Developed by Incodra UG (www.incodra.com) - Published by Headup Games.,Follow us on Twitter, Facebook and Instagram: ,www.facebook.com/dubdashgame,www.twitter.com/dubdashgame,www.instagram.com/headupgames,If you have problems with the game or feedback please send an email to: ,support@headupgames.com,----------------------------------,Photosensitive Seizure Warning ,A very small percentage of people may experience a seizure when exposed to certain visual images, including flashing lights or patterns that may appear in video games. Even people who have no history of seizures or epilepsy may have an undiagnosed condition that can cause these ""photosensitive epileptic seizures"" while watching video games. ,These seizures may have a variety of symptoms, including lightheadedness, altered vision, eye or face twitching, jerking or shaking of arms or legs, disorientation, confusion, or momentary loss of awareness. Seizures may also cause loss of consciousness or convulsions that can lead to injury from falling down or striking nearby objects. ,Immediately stop playing and consult a doctor if you experience any of these symptoms. Parents should watch for or ask their children about the above symptoms - children and teenagers are more likely than adults to experience these seizures. ,The risk of photosensitive epileptic seizures may be reduced by taking the following precautions:,•	Play in a well-lit room,•	Do not play when you are drowsy or fatigued,If you or any of your relatives have a history of seizures or epilepsy, consult a doctor before playing.",,,"  50,000 - 100,000  ",3-Mar-16,1.2, 62M  ,Top Developer,"2,721",4.3,Dub Dash
