operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.0.3 and up    ,Strategy,"Running a grocery chain can be a lot of fun! Dive into this highly addictive time management game based on our bestselling Supermarket Mania franchise – and prepare to stay on your toes every single second. Join millions of players who are already fans of Nikki! ,Head to Tinseltown with Nikki and her friends to help the Mayor strengthen the city’s economic development. Roll up your sleeves, open new supermarkets and help Nikki keep them stocked to the rafters. Manage six unique stores through 97 challenging yet amusing levels, serve ten types of choosy customers and upgrade your shelves and freezers so that they can hold more inventory. Tackle numerous quests to earn achievements and rewards and grow your enterprise into a wild success. Just remember – keep an eye on Mr. Torg’s dirty tricks!,YOU CAN UNLOCK ADDITIONAL BONUSES VIA IN-APP PURCHASE FROM WITHIN THE GAME!,● Over 95 levels through six game settings to play,● 10 uniquely demanding customers to please,● 40 products to sell with savvy and great service,● Nearly 150 upgrades to spruce up your stores,● Regular FREE updates to keep you stimulated and entertained,_______________________________________,Game available in: English, Chinese, Traditional Chinese, French, German, Italian, Japanese, Korean, Brazilian Portuguese, Portuguese, Russian, Spanish,_______________________________________,COMPATIBILITY NOTES:,***Note*** This game supports high-end smartphones and tablets such as Nexus 7 and Nexus 10, 4.0.3+ Android firmware.,_______________________________________,***Sign up now for a weekly round-up of the best from G5 Games! www.g5e.com/e-mail***,_______________________________________,G5 Games - World of Adventures!,Collect all G5 games! Search for ""g5"" in Google Play!,Strategy: ,▶ Games Navigator – By G5 Games,▶ Virtual City Playground®,▶ Farm Life: The Adventure,▶ Doomsday Preppers™,▶ Survivors: The Quest®,Adventure: ,▶ Mahjong Journey®,▶ Hidden City:Mystery of Shadows,▶ The Secret Society®,▶ Letters From Nowhere®: Mystery,▶ Royal Trouble: Honeymoon Havoc,____________________________,VISIT US: ,http://www.g5e.com,WATCH US: ,http://www.youtube.com/g5enter,FOLLOW US: ,http://www.twitter.com/g5games,GAME FAQS: ,http://www.g5e.com/support_android",,,"  1,000 - 5,000  ",23-Mar-16, 1.0.1  , 236M  ,Top Developer,280,4,Supermarket Mania® Journey
      2.3 and up    ,Arcade,"Duck Hunting:  is a simple arcade duck shooting game using a bow and arrows. The goal of the game is to shoot the ducks. If you miss a target duck or shoot a “Toucan Bird which are an endangered species you will lose 1 life and once you get three the game is over. Pull & release rope to shoot an arrow. The far you pull, powerful the shoot.,—— Game Play Features —- ,+ Duck Hunting With A Bow And Arrows,+ Unlimited Arrows (Max 3 Life),+ Fun,challenging and addictive gameplay,+ Stunning graphics & sound effects,+ Hit “Colour Duck” to get +1 extra life,+ If you hit “Toucan Bird” you will lose 1 life,+ Easy to play, hard to master game,+ Smooth Duck animations ",,,"  5,000 - 10,000  ",22-Mar-16,1, 21M  ,,80,4.3,Duck Hunting
      4.0.3 and up    ,Puzzle,"Join Professor Droo and his grandson on their electrifying quest to power up the Tesla Tubes., ,Travel through a colourful world of vibrant and wacky gadgets. Connect matching batteries and cover the board with tubes to complete buzzing puzzles and venture further into the magical machine park., ,Delve deep into mind-bending puzzles as you flow through levels ranging from simple and relaxing to complex and challenging. Cross bridges, dodge bombs and pass obstacles to master all the cryptic puzzles., ,Tesla Tubes is an addictive, pocket-sized puzzle game that is sure to test your wit. Run through the levels as fast as you can, or take it easy and secure perfect solutions, using as few moves as possible to complete the puzzles.,  ,FEATURES:,Learn it in seconds - play for hours,Super addictive, brain-teasing puzzles,Explore more than 500 unique levels,Earn Gold Stars for perfect solutions and unlock secret surprises,Completely free to play,Presented by Kiloo and Voony Games.",,,"  10,000 - 50,000  ",31-Mar-16,,,Top Developer,798,3.9,Tesla Tubes
      2.3 and up    ,Role Playing,"Don powered armor as you take on terrorists and eldritch aliens in the not too distant future! Modify your armor to suit your needs and stand tall against your foes.,""Magikiras"" is a 1,100,000-word interactive novel by Gabriel Chia, where your choices control the story. It's entirely text-based--without graphics or sound effects--and fueled by the vast, unstoppable power of your imagination.,• A 1,100,000-word story that takes place in a near future where magic and technology exists side by side.,• Choose your team and your enemy for different sides of the same story.,• Play as a normal soldier or one with magic at their command.,• Modify your powered armor to better suit your needs and preference.",,,"  5,000 - 10,000  ",10-Mar-16, 1.0.0  , 5.7M  ,,175,4.2,Magikiras
      2.2 and up    ,Puzzle,"During his US trip, a tourist trapped inside The  Kings County Asylum.There are some clues, puzzles and objects left. Find those objects and hints, solve the puzzles and help the tourist to escape out.,Enjoy with eightgames!!!!!!!!, +++ Instant Alerts On New Escape Games For Your  ,Mobile Device. —>>, ,http://goo.gl/forms/5jkais8qVL,       ++ Get Updates On New Games For Your Mobile Via  ,Facebook —>> ,https://www.facebook.com/EightGames,            +Get Latest Games Updates On Google+ —>> ,https://goo.gl/3ZTEvP",,,"  500 - 1,000  ",1-Apr-16, 1.0.1  , 24M  ,,170,4.7,Kings County Asylum Escape
      2.3 and up    ,Action,"Airplane Carrier Fighter Jet is the latest, awesome 3D military air jet plane simulator adventure. Fly fast fighter jets by yourself, learn how to become the best fighter pilot, follow the thrill -filled action adventure missions the army has gives you. Fight enemy forces using your personal F-18 Fighter Jet, however you also have a choice of FA-22 and FA-38.,Begin your training and learn how to fly a F18 Fighter Jet. Once you've learned the ropes, you're ready for combat, destroy objectives with a arsenal full of bombs and missiles! Earn 3 star rating for all the levels to become the greatest fighter jet pilot. Can you win the war against the enemy army forces? Complete all 20 levels!,GAME FEATURES:,- Fly army fighter jet planes, all unlocked from start,- Enhanced and improved plane flight physics,- Realistic flying controls helped with accelerometers,- Huge variety of missions ,- Dynamic lighting and sounds,- Multiple on-board cameras,- High quality world environments",,,"  10,000 - 50,000  ",18-Mar-16,1, 50M  ,,318,4,Airplane Carrier Fighter Jet
      2.3.3 and up    ,Creativity,"Garden Coloring Book is a great coloring game suitable for all ages to play. With a wealth of more than 100 free patterns, mandala, princess, a variety of plants, flowers and the combination with girls, you feel like being in a fantasy dream when playing it, brilliant and mysterious. When you immerse yourself in this magical space, time flies, worries also vanish.,Innovative filling way,★Preset different color styles and gradient colors, it is easier for you to find the sense of color.,★Press a certain color for a long time to absorb the color, it’s convenient to find the used colors.,★Brushes and coloring can be mixed to use, increasing coloring playability, easier to create their love works.,Coloring game cure effect,The elderly, to enhance the vitality of the brain, can prevent Alzheimer's disease; ,Adults, can be treated with anxiety and irritability, ease the pressure of work; ,Children, to develop a child's sense of color, the development of intelligence, also to prevent addiction to violent games. ,Play the coloring game whenever and wherever possible,Cultivate your sense of color ,Publish your works to Instagram, Facebook, Google+ and Twitter,Share your masterpiece with family and friends easily,You can also print your works,Put it at home as an artwork ,What’s the most important is to have fun. ,Using coloring app can reduce the damage to environment. So, go for it.,Note: Colorfit is still updating, you can contact us via ,Colorfit.app@outlook.com,, your suggestions are welcome. Please always pay attention to our new version. There will be more free coloring patterns for you to fill in. ,Copyright statement,Thank you very mush for your use, Colorfit is a free application. Before you use Colorfit, please read all the terms and conditions of this statement.,1.	All the materials in Colorfit are purchased in the formal image websites, the copyrights belong to the original, any third party shall not use them for any commercial activities.,2.	Colorfit dose not assume the user for the use of these materials for themselves and others in any form of lose or damage.,3.	The problems, not involved in the statement, please refer to the state laws and regulations. When this statement conflicts with state laws and regulations, the state laws and regulations prevail.,Contact our email ,Colorfit.app@outlook.com,.",,,"  1,000 - 5,000  ",2-Apr-16,1.61, 25M  ,,127,4.6,Garden Coloring Book
      4.0.3 and up    ,Puzzle,"Monster Game Minecraft,The best collection of Ideas Minecraft for monsters is here !! Comes with example with HD photo quality. Decorate your device everyday with a new Minecraft monsters wallpaper for your lock/home screen as well as multiple monsters minecraft related mini games to enjoy!,Monster Game Minecraft FEATURES:,: high quality images,: offline play minigames,: set minecraft monsters photo as wallpaper,: can pause and resume mini game anytime,: generate ideas for building your minecraft monster building,***Special thanks to the Minecraft community for contribution of the photos and artwork!!!,DISCLAIMER: This app is in no way affiliated with minecraft and does not claim ownership of any of the content. This application complies with US Copyright law guidelines of ""fair use"". If you feel there is a direct copyright or trademark violation that doesn't follow within the ""fair use"" guidelines,please contact us directly.",,,"  1,000 - 5,000  ",8-Mar-16,1, 6.5M  ,,18,2.4,Monster Game Minecraft
      4.0 and up    ,Role Playing,"Hoa Thiên Cốt được xây dựng dựa trên bộ tiểu thuyết tiên hiệp và phim truyền hình nổi tiếng cùng tên. Cốt truyện mô tả về mối tình cảm động và đầy sóng gió giữa Hoa Thiên Cốt và Trường Lưu Thượng Tiên Bạch Tử Họa.,Hoa Thiên Cốt vốn là yêu thần cuối cùng trên thế gian, khi vừa sinh ra đã thu hút yêu ma, mang đến tai ương, hoa cỏ một vùng xung quanh đều héo tàn. Còn Bạch Tử Họa đứng đầu chúng tiên, mang trên mình sứ mạng bảo vệ Trường Lưu và chúng sinh thiên hạ.,Cuộc chiến , tình yêu chấn động lục giới giữa Yêu Thần, Thượng Tiên, Ma Quân tạo nên một thế giới tiên hiệp kỳ ảo kịch tính, cảm động và đầy sức hút.,GIỚI THIỆU GAME,Game mobile Hoa Thiên Cốt được phát triển bởi SkyMoons với tác quyền nội dung chính thức từ nhà văn Fresh Quả Quả  – Game liên tục đứng đầu và duy trì vững vàng trong top bảng xếp hạng game được yêu thích nhất tại thị trường Trung Hoa cũng như các thị trường lớn khác như Đài Loan, Hong Kong.,Trò chơi đã thành công trong việc tái hiện chân thật 1 thế giới tiên hiệp huyền ảo, với các nhân vật mạnh mẽ và tràn đầy cá tính như: Yêu Thần Hoa Thiên Cốt, Thượng Tiên Bạch Tử Họa, Ma Quân Sát Thiên Mạch, Dị Hủ Các Đông Phương Úc Khanh… ,Ngoài ra, các cuộc chiến, thi đấu khốc liệt cũng được tái hiện hoàn hảo trong game. Người chơi có thể tham gia Tiên Kiếm Đại Hội đầy kịch tính, có thể xuất sơn Trảm Yêu Trừ Ma bảo vệ dân lành, tham gia vượt Thiên Tầng Tháp đầy thử thách và cam go, và còn nhiều nhiều nữa các tính năng đang chờ người chơi khám phá,Đừng chần chờ, tham gia Hoa Thiên Cốt mobile ngay hôm nay để hóa thân thành một trong 3 truyền nhân các vị thần cổ đại, đồng hành cùng vạn tiên và thiên ma, thống lĩnh lục giới truy tìm Thập Đại Thần Khí, thức tỉnh sức mạnh hồng hoang, viết lại chuyện tình chấn động thiên địa, hóa giải chấp niệm ngàn năm.,CÁC TÍNH NĂNG NỔI BẬT,• Đồ họa 3D trẻ trung, tinh xảo đến từng chi tiết, bối cảnh và nhân vật được xây dựng sát với nguyên tác, hiệu ứng kỹ năng đẹp mắt, ấn tượng.,• Tính năng đa dạng, phù hợp mọi đối tượng người chơi: Tiên Kiếm Hội, Trảm Yêu, Sư Đồ Chiến, Thiên Tầng Tháp, Dị Hủ Các, Thời Trang, BOSS thế giới, Truy Tìm Thần Khí, Loạn chiến 30vs30….,• Hóa thân thành Yêu Thần, Nguyệt Tôn, Kiếm Tôn thống lĩnh lục giới.,• Kề vai sát cánh cùng các tuyệt đỉnh cao thủ quen thuộc: Sát Thiên Mạch, Bạch Tử Họa, Tử Huân tiên tử, Đông Phương Úc Khanh, Mạnh Huyền Lãng, Khinh Thủy, Sóc Phong…,• Phó bản phong phú, độ khó đa dạng.,• Game tiên hiệp tình duyên hoàn toàn miễn phí và hoạt động tốt trên các hệ điều hành Andoird, iOS,Tham gia cộng đồng Hoa Thiên Cốt tại: ,https://www.facebook.com/hoathiencot.zing.vn/, ,Truy cập trang chủ của Hoa Thiên Cốt tại: ,http://hoathiencot.zing.vn, ,Gửi yêu cầu cho chúng tôi qua địa chỉ ,http://hotro.zing.vn/hoặc, Hotline: 1900 561 558 nếu có thắc mắc hay gặp khó khăn trong quá trình chơi. Chúng tôi sẽ hỗ trợ bạn trong thời gian sớm nhất !,United Heavenly Essence is based on the first novel half and famous TV series of the same name. The plot describes the touching relationship between the US and turbulent Heavenly Essence and Bach Tien Truong Luu Thuong magnetization.,United Heavenly Essence is love god last capital in the world, after birth has attracted demons, brought disaster, a region surrounding flowers are wilting. White also topped their magnetization First, carry on his mission to protect Truong Luu and lower natural beings.,War, love vibration between Loving Spirit, Shanghai Korea, Ma Quan created a fantasy world dramatic first half, touching and full of charm., ABOUT GAME ,Thien Hoa Essence mobile game developed by SkyMoons with official copyright content from writers Fresh Fruit Fruit - Game constant head and firmly maintain the top ranking are the most popular game in the Chinese market well Other major markets such as Taiwan, Hong Kong.,The game was successful in presenting the first true 1 half fanciful world, with strong character and full of personality like: Love Divine Essence Thien Hoa, Thuong Tien Bach from United, Ma Thien Circuit observed, The Australian Eastern Hu Di. Khanh ...,Also, the war, fierce competition is also perfectly recreated in the game. Players can join Earnings Conference dramatic, may Paint Trảm Love Minus Ma protect civilians, participation exceeded Thien Tower Floor challenging and tough, and so much more awaits features players explore,Do not wait, join Costa mobile Heavenly States today to transform into one of 3 TV's ancient gods, and the first contract with thousands of celestial magic, dominate the world tracing continent Cross Great Spirit, awakening Wild pink strength, rewritten Heaven and Earth tremors romance, unwinding of millennium anniversary., THE FEATURES ,• 3D graphics youthful, exquisite attention to detail, context and character is built close to the original, beautiful skill effects, impressive.,• The diverse nature, fit all objects players: Tien Sword Society, Trảm Love, War Master Toys, Natural Floor Tower, Di Hu These, Fashion, BOSS world, Detection Spirit 30vs30 Disorders war ....,• incarnation of Divine Love, Nguyet Ton Ton Make continent world dominance.,• rubbing shoulders with supreme familiar players: Chad Heavenly Circuit, Bach from United, Huan Zi First Prince, Eastern Australia Khanh, Manh Lang Huyen, Contempt Shui, Feng Soc ...,• Duplicates of rich, varied difficulty.,• First half the love game is completely free and works well on the Andoird OS, iOS,Thien Hoa community Join Essence at: ,https://www.facebook.com/hoathiencot.zing.vn/,Access US homepage Heavenly Essence at: ,http://hoathiencot.zing.vn,Send a request to us via the address ,http://hotro.zing.vn/hoặc, Hotline: 1900 561 558 if you have questions or encounter difficulty in playing process. We will support you in the shortest time!",,,"  50,000 - 100,000  ",22-Mar-16, 1.5.0  , 91M  ,,"5,615",4.7,Hoa Thiên Cốt - VNG
      4.0.3 and up    ,Puzzle,"You took a relaxing trip to countryside but only found yourself involved in a mysterious case: there was a tale about an ancient creature living in the village, yet it has not been seen for years until recently, it came back and fear haunted the beautiful village. ,Can you solve the case? Can you find out the truth? Can your detective skill save the village? ,Enjoy the three different levels of challenge provided to match this exciting puzzle-solving adventure:,- Picture Mode,- Silhouette Mode,- Word mode,Don't miss out this fun and free Hidden Objects game! ,Also come visit our ,Facebook: ,https://www.facebook.com/BigBearEntertainmentGames/,Enjoy all the fantastic hidden object games you are looking for!,Big Bear Entertainment provides hidden object games of various themes, including terrifying horror stories, kids-friendly cute animal themes, romantic love fantasies, mysterious magical tours and of course, the brain-challenging detective puzzles.,Stay tuned!",,,  100 - 500  ,29-Mar-16,1, 43M  ,,9,4.6,Hidden Objects: Rustic Mystery
      2.3 and up    ,Racing,"Welcome to the next generation of stunt driving game! Get in your favorite sports car and perform crazy stunts with a high risk of failing! ,This stunt game is nothing like the normal stunt driving games. In Sports Car Stunt Madness you can go completely nuts and perform silly tricks. Drive with your favorite sport car on the street, between the mountain or in the sky nothing is odd enough for this car driving game. ,If you think this is not possible think again because everything is possible in this heavy performing stunt mania track game. Not only do the silly tricks is important in Sports Car Stunt Madness also surviving is very important, so try to avoid the obstacles on the trick course and dodge everything what is coming for you. Are you the one who can complete all the insane stunt mania track courses?,Features of Sports Car Stunt Madness: ,➽ Perform insane and silly tricks and go completely nuts ,➽ Unlock your favorite sports car to complete your insane stunt courses ,➽ Easy To play stunt madness driving simulator game ,➽ Nothing is odd enough in this ! ,➽ Next generation insane stunt mania car driving game ,➽ More insane car stunt mania games will follow soon ,We hope you will like this unique and insane car stunt mania game. Please let us know what you think of this game on Google Play so we can improve our games! ,Follow us on Social Media to keep up-to-date with all the news about MobilePlus,http://www.facebook.com/mobileplusgames, ,http://www.youtube.com/mobileplusgames",,,"  10,000 - 50,000  ",24-Mar-16,1, 31M  ,,57,3.6,Sports Car Stunt Madness
      2.3 and up    ,Casino,"Wild Devils Slot Machines is a collection of the cutest Demons ready to play a slot machines with you at a moment’s notice. The craziest gamblers of the underworld are inviting you to join them for a grand party thrown by none other than the God’s own nemesis. ,Wild Devils Slot Machines is an HD, multi slot machines, and five-reel slots simulation that combines the fear of the underworld, with the craziness hotties, and puts the combination together on to the technology of the 21st century. Gambling has just become more interesting.,Wild Devils Slot Machines invite you to come in, play a game of slots, and win unimaginably huge jackpots. It is a chance of a lifetime because not everyone gets a chance to enter the world of the fire and come out with a million gold coins in hand. ,Features,•	5,000 FREE coins,•	Multiple themes,•	New FREE games every free,•	Many games to choose from,•	HD graphics,•	High-quality sound,Download Wild Devils Slot Machines now and start winning big jackpots.",,,"  10,000 - 50,000  ",7-Mar-16,,,,"2,691",4.4,Wild Devils Slot Machines
      2.3.3 and up    ,Puzzle,"Color Twister: a free and addictive puzzle game! Tap, twist tiles, connect colors and win!,You start with a white field with grey pipes on tiles and a few colored dots. Tap tiles to twist them and connect the dots with lines of the same color. Once you complete the connection a colored stream starts flowing between the dots. You win the level when you connect all colors. Many challenging levels make this free game an excellent exercise for the brain!,Color Twister features:,- An easy and hard adventure track with many challenging puzzles.,- Quick game mode with countless unique puzzles.,- Many different puzzle pieces, such as bridges, T-sections, and rotating end points.,- Up to six colors to connect.,- Intuitive controls and clear graphics guarantee great puzzle experience.,- Attractive material design looks.,Download this free puzzle game now and connect the dots!",,,"  10,000 - 50,000  ",8-Mar-16,1, 4.3M  ,,177,4.3,Color Twister - Connect Puzzle
      2.3 and up    ,Casual,"Cookie Clans - This is a legend about the cuisine of master KUMAKI!,Great KUMAKI order to create the world's best desserts, start a gourmet journey ! Now he is waiting for food tribal challenge!,Cookie Clans Features:,- Daily login awards,- Over 400 unique levels,- Many fun and powerful props,- Totally new gameplay and puzzles,- Cookie Clans completely beyond classic Lianliankan game!,Entirely new work! Fresh, fun, delicious match-2 game is here!",,,"  10,000 - 50,000  ",26-Mar-16, 1.0.1  , 12M  ,,93,4.1,Cookie Clans
      2.3 and up    ,Educational,"Does your kid want to be a hairdresser in the Animal Hair Salon ? Does your little girl want to be the best hairstylist ? ,If your child want to play in the Animal and Pet Hair Salon you have found the right educational game !,There are a lot of animals and they need the best hairdresser. ,Please help the hairstylist in this fun game for kids.,This app is a challenging and fun way to develop fine motor skills, visual perception and hand-eye coordination ,in the world of hair salon for pets. The best app to be a barber and design various hairstyles for your hairy customers.,Animal and Pet Hair Salon is simple and fun : ,* Open the game and choose the animal,* choose among pets and the cutest animals,* clean, wash, shampoo, and dry the hair,* Now you can cut, shave, comb, brush, curl or straighten the hair,* give a bath to remove all the hairs,* color the hair with their favorite color,* dress up the animal with fashionable clothing,* choose a lot of accessories to complete the makeover,* complete the photo album with the best photos,* share the image with your friends after the styling is finished,Run your own Hair Salon! These cute animals are looking for a new hair style and you are the one to give them the haircut, of their dreams! With this funny game, you get to scissor cut, curl, color, and style hair!,Wash hair with shampoo, shower, and towel ! Cut and trim hair with the scissors electric hair trimmer !,The style is completely up to you!,If your toddler loves to play with Hair Salon this is the best hair game for your child.,Dress up your pet the way you want to !,Give these animals the curls they have always wanted !,In this kids game there are hundreds of hair style, makeup, clothes, and accessories to choose from !,Animal and Pet Hair Salon is a must have app for kids. Features:,-game for toddlers and kids from ages 2-13 years old,-Optimized for tablets (Sony , Samsung, Kindle),-entertaining and educational game,-easy to use for children and preschoolers, babies, little boys and little girls,-simple and intuitive : just a few commands to use,-exercise your toddler fine motor skills,-Promotes problem-solving skills and hand-eye coordination,-4 beautiful characters to choose from: dog, cat, llama, lion,-a lot of styling tools such as scissors, electric razor, comb, hair straightener, curling iron, crimper, hairdryer,-characters will have various expressions and sounds when you are styling them,-gorgeous accessories to complete the makeover,-hair design and dressing,-dress, glasses, shoes, hat, accessories for a trendy animal,Help your kids to learn and inspire your toddler's creativity and imagination in the funniest Hair Salon of the city !,Play with the best Pets Hair Salon, become the best barber in the world !,Having a beautiful hair-style is every fluffy cat dream in this animal hair salon for free.,Now you are a hairstylist ! Let's design the most beautiful hair-style for puppies.,Have fun with BATOKI ! Best Apps for TOddlers and KIds",,,"  1,000 - 5,000  ",31-Mar-16, 1.0.1  , 19M  ,,73,3.7,Animal and Pet Hair Salon
      2.3 and up    ,Arcade,"Arcade Featured Game Center brings back Memories of the arcade Featured game ,Arcade Featured Game Center , a collection of free classic arcade featured games to enjoy with android devices,Arcade Featured Game Center are compatible with various emulators eg：,MAME：MAME4droid(0.37b5)， MAME4droid Reloaded(0.139),Nintendo ：John NES Lite (NES Emulator) ，RetroArch Android,Super Nintendo： RetroArch Android，Snes9x EX+， SNESDroid,Nintendo 64： Mupen64+AE FREE (N64 Emulator)， ,Nintendo DS： nds4droid,Gameboy Advance：My Boy! Free - GBA Emulator， John GBA Lite， RetroArch Android,Gameboy Color： Jonh GBC Lite， RetroArch Android,Sega CD：RetroArch Android， ,Sega Game Gear： RetroArch Android,Sega Genesis：RetroArch Android， GENPlusDroid,Sega Master System： RetroArch Android， GENPlusDroid,Neo Geo： RetroArch Android,Neo Geo Pocket： RetroArch Android,Playstation Portable： PPSSPP， ,Sony Playstation：RetroArch Android,Commodore 64： Frodo C64,Arcade Featured Game Center is a game collection of popular arcade Featured classics games,Childhood memories mounts on the classic arcade Featured games of this app,Once again, please give you and your friends the memories of old time!,******Notice:********,1,For legal reasons, please ensure that you own the physical game that you are downloading the ROM for.,2,If some ROMs can not be played or crash, that may be a bug of the emulator app and not a bug of ROM Gripper. Please contact the developer of your emulator app in google play,3,This app doesn't provide any ROM files. The only thing it provide is a short way to search a game with google",,,"  10,000 - 50,000  ",19-Mar-16,1, 3.9M  ,,119,3.5,Arcade Featured Game Center
      4.0 and up    ,Word,"Do you want to take your party to the next? With Never Have I Ever, things are going to get super interesting.,This classic drinking game is a must have for parties or events, maybe even with your parents if you're brave!,NAUGHTY & FUN QUESTIONS,We've broken it down into categories and hand selected the best Never Have I Ever questions out there to get your party started and lips talking.,Choose from 7 different questions depending on your vibe, turn on the naughty questions to spice up the game!,Find out some secrets about your friends that you didn't know before,NEVER HAVE I EVER - CLASSIC DRINKING GAME ON MOBILE,This classic game is easy to play, you just need to grab some shot glasses and take turns passing around the phone and reading out your question - If you've done what the question asks then you  have to drink!,The more people the more fun you can have, what will you find out??,Download the best and most addictive drinking game on Android now!,● Pick from 7 categories of questions or mix and match,● The PERFECT DRINKING GAME for any party!,● Perfect for couples or big groups,● Never Have I Ever is easy to play,Try the Never Have I Ever app TODAY!",,,  10 - 50  ,23-Mar-16, 1.0.0  , 1.9M  ,,4,5,Never Have I Ever - Party Game
      4.0 and up    ,Simulation,"Multi story emergency rescue game of 2016 where you have to serve the people stuck in snow blizzard. Most addictive and challenging simulator game of emergency ambulance van, heavy excavator crane, dumper truck, snow plow truck & food truck driving. Show your skills & drive like a professional driver to reach the city emergency places. , Ambulance Van Driver Duty: ,Play as the emergency rescue team and be the ambulance driver. 911 Ambulance Rescue Duty is challenging game to transport people to city hospital. Now emergency rescue operation is a next level of driving simulation game with a very challenging role. So look out for the hurdles, sharp turns and traffic. Don’t hit anything on your way and get to the scene straight by following the signs. Precious lives depends on your driving skills. Act fast and rush towards any emergency happened in the city. , Heavy Excavator Crane Driving Simulator: ,Now it's time to drive heavy rescue vehicles & emergency ambulance to help the city. Let’s start driving heavy excavator to dig, lift and load the snow on dumper truck to clear the roads for traffic in city. Drive the dump truck and dump the snow out of the city. Hydraulic crane operations like rotation, lifting and elevating will help you to easily remove snow from roads. Extreme challenges awaits in this emergency excavator rescue. Get this 3d simulator game if you love parking, driving and simulation. Let the fast traffic flow swiftly after you successfully excavate snow from roads., Snow Loader & Dumper Truck Driving: ,Play your role in keeping the snowy roads clean and drive a modern heavy dump truck to load the snow and throw it out of the city. As a city heavy dump truck driver you have to clear the roads and streets, load snow and transport it via city highway to dispose at some point in city., Snow Plow Truck Road Cleaning Operation: ,Let’s drive big rig snow plow automobile truck to clear city roads & highway so people can easily move in snow season to complete their routine jobs. As a dump truck driver of rescue operation team you will face extreme challenges like traffic & city residence., Food Delivery Truck Driver Job ,Be the expert food truck driver, carry food items & reach out to doorsteps and deliver food to the people who got stuck in emergency snowfall situation. Snowfall and extreme weather might have many difficulties to drive on city roads but as a rescue food truck driver it’s your duty to reach out to them and help the people., Emergency Rescue Driving Game Features: ,Multiple Highly Challenging Rescue Missions in Different Scenarios,5 Rescue Vehicles with 911 Emergency Ambulance,Real Experience of Ambulance Driving,Real-Time Physics Controls for Driving Heavy Vehicles,Parking, Driving & Simulation of Heavy Rescue Vehicles,Challenging Missions of Excavation, Dumping & Snow Plow,Smooth Touch Controls for Vehicle Driving,Hydraulic Brakes, Lifting and Rotation Controls,Explore Realistic 3D Environment for Rescue Operation",,,"  5,000 - 10,000  ",25-Mar-16,1, 49M  ,,63,3.7,Emergency Rescue Driving
      2.3 and up    ,Action,"Emulator For PSP is great emulator on android platform for PlayStation (PSP).,You can play your own PSP games on your Android device.,Top Best gaming experience at high definition with extra features and best game compatibility.,Emulator for PSP works well on most smartphones and tablets.,this is the best emulator for psp, have good graphics and fester and smooth playing with full fast play games ever i suggest you to download this emulator for psp and install it.,this emulator don't have any game included with this download.,but you can dump you own psp games with extension .ISO or .CSO Files and you can download game by searching in google but you must have real game first.,put games in SD Card or USB Storage.,This Some Game Works very Well:,Star Ocean - Second Evolution,DJ Max Portable 3,Metal Gear Ac!d 2,Kingdom Hearts - Birth by Sleep,Monster Hunter Freedom Unite,Naruto Shippuden - Ultimate Ninja Heroes 3,Dragon Ball Z - Tenkaichi Tag Team,Final Fantasy IV - Complete Collection,God of War - Chains of Olympus,and many more...,Advantages:,* Fast game speed as on the original PSP device,* High quality game sound,* Nice game controller,* Easy network gaming,* Save and load game state,* High quality best game graphics,Compatibility :,-------------------,Best Emulator For PSP™ was tested on various devices to assure good quality user experience for example: Samsung Galaxy S6, and s6 edge/ S6 mini/S6 Active /A7/A5/Note S3, HTC,Moto X, Samsung Galaxy S5, Google Nexus 5, LG G2 and Sony Xperia, HTC One M9+ our Emulator are suitable for most of android™ devices out there.,For inquiries/bugs please contact us via email: ,spstudiogame.chupamobile@gmail.com,Enjoy it now and don’t forget to give us a good rate thank you!!!,————————,No game file included!,This PSP emulator is created for educational purposes, based on the open source developments (GPL 2.0).,* PSP is a trademark of Sony, Inc.",,,"  10,000 - 50,000  ",12-Mar-16, 1.2.1.0  , 25M  ,,410,3.6,Emulator For PSP
      2.2 and up    ,Puzzle,"Doctor Toys Kids , picture puzzle game for kids. Test your memory of famous Toys with character.. McStuffins is an animated children's television series is about a girl who can fix toys, with help from her stuffed animal friends.,Brain Development and Develop your memory skills to match the picture. Enjoy for free and fun. If your like toys in the game and want to experience the real toys. We have many toy for Doc Mcstuffins Please see the actual product at a toy shopping site or toy store near you and fun enjoy to the shopping.",,,"  1,000 - 5,000  ",13-Mar-16,1, 5.9M  ,,9,4.8,Doctor Kids Puzzle
      2.2 and up    ,Casual,"The Storyteller features iconic images from 20 well-known stories, including scenes from Cinderella, Aladdin, 101 Dalmatians and Alice in Wonderland!,""The Storyteller"" contains artistically-crafted levels, filled with Hidden Differences. Find differences as the difficulty increases. Can you spot all the differences?,CASUAL PLAY,Relax and take your time finding the differences among the beautiful images.,CHALLENGING MODES,Challenge yourself with harder difficulty modes. Feel your pulse rise as the number of differences increases and the time limit runs down! Can you beat the tricky ""black and white"" or ""mirror"" modes?,ZOOM IT,Use the built-in zoom functionality to spot the differences like a hawk!,LOTS OF LEVELS,With 100 levels, there are plenty of differences to get stuck into.,HELPING HAND,Let the Cauldron of Wisdom guide you through those difficult levels.,Powered by Dolby® on supported devices",,,  100 - 500  ,13-Mar-16, 1.0.0  , 38M  ,,26,4.7,Hidden Difference Storyteller
